Designator,Footprint,Quantity,Value,LCSC Part #
AE1,TX_60GHz_microstrip_inset_patch,1,Antenna,
AE2,RX_60GHz_microstrip_inset_patch,1,Antenna,
"C1, C2",0402,2,15p,
"C10, C12, C14, C21, C4, C6, C8",0603,7,2u2,
"C11, C13, C18, C19, C20, C22, C23, C24, C25, C3, C5, C7, C9",0603,13,10u,
C15,0402,1,47n,
"C16, C17",0603,2,1u,
J1,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Top_Bottom,
L1,0805,1,470n,
L2,0805,1,100n,
"R1, R4, R5, R6",0402,4,10k,
"R2, R3, R7",0402,3,100k,
R8,0402,1,18k,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.0mm,5,TestPoint,
U1,BGA-102_L6.5-W6.5-P0.50-TL_TI_IWRL6432BDQGAMFR,1,IWRL6432BDBAAMFR,C22428198
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BR,1,TPS628502QDRLRQ1,C3193229
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40.000,
