Designator,Mid X,Mid Y,Rotation,Layer
AE1,84.919047,-56.692308,0.0,top
AE2,76.866249,-56.682308,0.0,top
C1,82.14,-61.06,270.0,top
C10,76.52,-71.94,180.0,top
C11,73.1275,-69.52,0.0,top
C12,73.1275,-71.3,0.0,top
C13,68.47,-67.8475,90.0,top
C14,70.077,-67.8425,90.0,top
C15,78.23,-66.51,90.0,bottom
C16,79.49,-66.98,90.0,bottom
C17,81.0,-66.2375,90.0,bottom
C18,64.68,-73.2,180.0,top
C19,61.34,-61.61,180.0,top
C2,83.47,-61.06,270.0,top
C20,60.185,-73.07,180.0,bottom
C21,62.73,-70.08,180.0,bottom
C22,68.0325,-67.29,270.0,bottom
C23,69.31,-60.85,180.0,bottom
C24,65.62,-63.77,90.0,bottom
C25,82.1775,-73.65,0.0,top
C3,83.86,-69.0,270.0,bottom
C4,85.73,-69.02,270.0,bottom
C5,68.473,-63.8975,90.0,top
C6,70.08,-63.8975,90.0,top
C7,73.175,-64.929,180.0,top
C8,73.175,-66.536,180.0,top
C9,76.52,-73.64,180.0,top
J1,53.23,-64.19,0.0,top
L1,65.63,-67.64,90.0,bottom
L2,70.15,-67.58,270.0,bottom
R1,80.6,-72.6,90.0,bottom
R2,57.87,-70.26,0.0,top
R3,57.87,-71.71,180.0,top
R4,57.8,-64.21,0.0,top
R5,57.85,-67.71,0.0,top
R6,57.9,-73.69,0.0,top
R7,59.58,-67.51,90.0,bottom
R8,62.1325,-64.45,90.0,bottom
U1,79.75,-67.15,270.0,top
U2,91.0,-70.78,270.0,top
U3,63.23,-67.35,270.0,top
U4,62.74,-67.18,0.0,bottom
Y1,83.15,-62.25,0.0,bottom
